# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	27102
#@/user_id	1f16c4d4-a41a-4522-b9ab-3db93a4af922
a 	啊	c=231 d=5.12115 t=27102
a a 	啊啊	c=1 d=6.01211e-15 t=27102
a li 	阿里	c=3 d=1.51932e-09 t=27102
a li yun 	啊麗雲	c=1 d=1.50421e-09 t=27102
a li yun pan pan 	阿里雲盤盤	c=1 d=1.64385e-24 t=27102
a te 	阿特	c=0 d=6.91205e-10 t=27102
a te zi 	阿特茲	c=2 d=1.50987e-08 t=27102
ai 	唉	c=7 d=0.194952 t=27102
ai 	愛	c=2 d=0.0816756 t=27102
ai dao 	爱道	c=1 d=0.0387742 t=27102
ai hao 	愛好	c=1 d=0.000867409 t=27102
ai le 	愛了	c=2 d=4.27633e-07 t=27102
ai long 	埃隆	c=1 d=6.28456e-07 t=27102
ai ni 	愛你	c=3 d=0.162131 t=27102
ai qing gu shi 	愛情故事	c=2 d=8.08105e-16 t=27102
ai shang 	愛上	c=0 d=1.48489e-05 t=27102
ai shang yi pi ye ma 	愛上一匹野马	c=1 d=0.000149233 t=27102
ai shi shen me 	愛是什麼	c=1 d=0.054204 t=27102
ai wo 	愛我	c=2 d=0.000726946 t=27102
ai zai xi yuan qian 	愛在西元前	c=6 d=5.26599e-07 t=27102
ai zhe 	挨着	c=1 d=0.0143357 t=27102
an 	安	c=0 d=2.86106e-15 t=27102
an 	按	c=5 d=0.144424 t=27102
an 	暗	c=0 d=2.50793e-24 t=27102
an dao 	按到	c=0 d=2.61303e-07 t=27102
an dao di 	按到底	c=1 d=2.62613e-06 t=27102
an he 	安和	c=0 d=3.24984e-14 t=27102
an he qiao 	安和橋	c=4 d=3.67681e-11 t=27102
an hui 	安徽	c=1 d=1.43036e-05 t=27102
an jian 	按鍵	c=5 d=0.904293 t=27102
an jing 	安靜	c=1 d=2.71311e-07 t=27102
an jing 	暗經	c=1 d=2.69958e-07 t=27102
an li 	案例	c=1 d=0.00134683 t=27102
an ni 	按你	c=1 d=1.83219e-06 t=27102
an pai 	安排	c=7 d=6.33984e-07 t=27102
an quan 	安全	c=9 d=0.00096344 t=27102
an shui 	安睡	c=1 d=0.0248475 t=27102
an yue 	按月	c=1 d=1.90696e-06 t=27102
an zhao 	按照	c=9 d=0.133989 t=27102
an zhong 	暗中	c=0 d=1.86952e-09 t=27102
an zhong guan cha 	暗中觀察	c=1 d=1.87889e-08 t=27102
an zhuang 	安裝	c=40 d=1.3519 t=27102
an zhuang bao 	安裝包	c=3 d=0.970446 t=27102
an zhuo 	安卓	c=5 d=4.77276e-05 t=27102
ao 	嗷	c=6 d=0.225633 t=27102
ao 	熬	c=2 d=2.4916e-05 t=27102
ao di 	奧迪	c=2 d=2.01512e-08 t=27102
ao tu 	凹凸	c=2 d=1.44669e-11 t=27102
ao ye 	熬夜	c=1 d=5.04434e-09 t=27102
ba 	八	c=1 d=0.112478 t=27102
ba 	吧	c=126 d=2.61388 t=27102
ba 	把	c=39 d=0.812078 t=27102
ba 	爸	c=2 d=0.00458484 t=27102
ba ba 	爸爸	c=1 d=3.48311e-05 t=27102
ba ba ma ma 	爸爸媽媽	c=2 d=8.55643e-05 t=27102
ba bi lun 	巴比倫	c=5 d=6.16019e-07 t=27102
ba gong 	八公	c=0 d=9.49258e-07 t=27102
ba he 	巴赫	c=1 d=4.39743e-12 t=27102
ba huang hou 	吧皇后	c=1 d=0.111917 t=27102
ba jiu wen qing tian 	把酒问青天	c=1 d=0.970446 t=27102
ba le 	罷了	c=4 d=0.275271 t=27102
ba mei 	把妹	c=1 d=5.17467e-15 t=27102
ba ni 	把你	c=1 d=0.000242381 t=27102
ba ta 	把他	c=1 d=0.00337959 t=27102
ba wo 	把握	c=2 d=0.873716 t=27102
bai 	白	c=1 d=1.19762e-05 t=27102
bai bai 	拜拜	c=1 d=0.0804596 t=27102
bai du 	百度	c=0 d=0.00357931 t=27102
bai du wang pan 	百度王泮	c=1 d=0.0359725 t=27102
bai fen 	百分	c=1 d=3.59909e-08 t=27102
bai guang 	白光	c=1 d=6.22097e-05 t=27102
bai lai 	白癩	c=1 d=0.0349094 t=27102
bai lan 	擺爛	c=1 d=6.87523e-05 t=27102
bai ming dan 	白名單	c=1 d=0.000120363 t=27102
bai piao 	白嫖	c=2 d=0.000207579 t=27102
bai piao cheng yin 	白嫖成癮	c=1 d=8.27663e-11 t=27102
bai se 	白色	c=2 d=0.308819 t=27102
bai shuo 	白說	c=1 d=2.00024e-09 t=27102
bai tian 	白天	c=1 d=0.00358858 t=27102
bai zhi 	白紙	c=0 d=3.3552e-07 t=27102
bai zhi yun dong 	白紙運動	c=1 d=3.37202e-06 t=27102
ban 	半	c=2 d=0.00830547 t=27102
